event_id,qid,label,role,lang,surface_form,source,source_key,match_status
A-628,Q121882,Ida Glanzmann-Hunkeler,rapporteur,de,Ida Glanzmann-Hunkeler,curia:Rapporteur,PersonNumber:1337,matched
A-628,Q121882,Ida Glanzmann-Hunkeler,rapporteur,fr,Ida Glanzmann-Hunkeler,curia:Rapporteur,PersonNumber:1337,matched
A-628,Q16739430,Pierre-Alain Fridez,rapporteur,de,Pierre-Alain Fridez,curia:Rapporteur,PersonNumber:4074,matched
A-628,Q16739430,Pierre-Alain Fridez,rapporteur,fr,Pierre-Alain Fridez,curia:Rapporteur,PersonNumber:4074,matched
A-628,Q1310215,Josef Dittli,rapporteur,de,Josef Dittli,curia:Rapporteur,PersonNumber:4151,matched
A-628,Q1310215,Josef Dittli,rapporteur,fr,Josef Dittli,curia:Rapporteur,PersonNumber:4151,matched
A-628,Q151768,Bürgerlich-Demokratische Partei,recommends_yes,de,Bürgerlich-Demokratische Partei,swissvotes:party_recommendation,p-bdp,matched
A-628,Q151768,Parti bourgeois démocratique,recommends_yes,fr,Parti bourgeois démocratique,swissvotes:party_recommendation,p-bdp,matched
A-628,Q659461,Christlichdemokratische Volkspartei,recommends_yes,de,Christlichdemokratische Volkspartei,swissvotes:party_recommendation,p-cvp,matched
A-628,Q659461,Parti démocrate-chrétien,recommends_yes,fr,Parti démocrate-chrétien,swissvotes:party_recommendation,p-cvp,matched
A-628,Q667836,Eidgenössisch-Demokratische Union,recommends_no,de,Eidgenössisch-Demokratische Union,swissvotes:party_recommendation,p-edu,matched
A-628,Q667836,Union démocratique fédérale,recommends_no,fr,Union démocratique fédérale,swissvotes:party_recommendation,p-edu,matched
A-628,Q667718,Evangelische Volkspartei,recommends_yes,de,Evangelische Volkspartei,swissvotes:party_recommendation,p-evp,matched
A-628,Q667718,Parti évangélique suisse,recommends_yes,fr,Parti évangélique suisse,swissvotes:party_recommendation,p-evp,matched
A-628,Q202638,FDP.Die Liberalen,recommends_yes,de,FDP.Die Liberalen,swissvotes:party_recommendation,p-fdp,matched
A-628,Q202638,Parti libéral-radical,recommends_yes,fr,Parti libéral-radical,swissvotes:party_recommendation,p-fdp,matched
A-628,Q545900,Grünliberale Partei,recommends_yes,de,Grünliberale Partei,swissvotes:party_recommendation,p-glp,matched
A-628,Q545900,Vert'libéraux,recommends_yes,fr,Vert'libéraux,swissvotes:party_recommendation,p-glp,matched
A-628,Q659739,Grüne Partei der Schweiz,recommends_yes,de,Grüne Partei der Schweiz,swissvotes:party_recommendation,p-gps,matched
A-628,Q659739,Les Verts Suisse,recommends_yes,fr,Les Verts Suisse,swissvotes:party_recommendation,p-gps,matched
A-628,Q303745,Sozialdemokratische Partei der Schweiz,recommends_yes,de,Sozialdemokratische Partei der Schweiz,swissvotes:party_recommendation,p-sps,matched
A-628,Q303745,Parti socialiste suisse,recommends_yes,fr,Parti socialiste suisse,swissvotes:party_recommendation,p-sps,matched
A-628,Q385258,Schweizerische Volkspartei,recommends_no,de,Schweizerische Volkspartei,swissvotes:party_recommendation,p-svp,matched
A-628,Q385258,Union démocratique du centre,recommends_no,fr,Union démocratique du centre,swissvotes:party_recommendation,p-svp,matched
A-631,Q121470,Kurt Fluri,rapporteur,de,Kurt Fluri,curia:Rapporteur,PersonNumber:1122,matched
A-631,Q121470,Kurt Fluri,rapporteur,fr,Kurt Fluri,curia:Rapporteur,PersonNumber:1122,matched
A-631,Q1160790,Daniel Fässler,rapporteur,de,Daniel Fässler,curia:Rapporteur,PersonNumber:4056,matched
