event_id,block,source,source_id,date,label_de,label_fr,title_official_de,title_official_fr,window_from,window_to,polarization,polarization_count,roestigraben,cell,is_migration_eu,is_control,is_diagnostic,domains,national_yes_pct,salience_total,salience_de,salience_fr,curia_business,sitelinks,n_reference_actors,has_reference_actors
A-628,A,swissvotes,628,2019-05-19,Umsetzung der EU-Waffenrichtlinie,Mise en oeuvre de la directive de l’UE sur les armes,Bundesbeschluss über die Genehmigung und die Umsetzung des Notenaustauschs zwischen der Schweiz und der EU betreffend die Übernahme der Richtlinie (EU) 2017/853 zur Änderung der EU-Waffenrichtlinie (Weiterentwicklung des Schengen-Besitzstands),Arrêté fédéral portant approbation et mise en oeuvre de l'échange de notes entre la Suisse et l'UE concernant la reprise de la directive (UE) 2017/853 modifiant la directive de l'UE sur les armes (Développement de l'acquis de Schengen),2019-04-19,2019-06-02,0.644958,0.333333,9.305,pol=HIGH/rg=LOW,True,False,False,3|3.1|3.11|2|2.2|2.22,63.74,344.0,195,149,18.027,,12,True
A-631,A,swissvotes,631,2020-09-27,Begrenzungsinitiative,Initiative de limitation,Volksinitiative «Für eine massvolle Zuwanderung (Begrenzungsinitiative)»,Initiative populaire «Pour une immigration modérée (initiative de limitation)»,2020-08-28,2020-10-11,0.553368,0.333333,-13.368529,pol=LOW/rg=HIGH,True,False,False,2|2.2|2.22|10|10.3|10.31,38.29,636.0,459,177,19.026,,12,True
A-636,A,swissvotes,636,2020-11-29,Konzernverantwortungsinitiative,Initiative «Entreprises responsables»,Volksinitiative «Für verantwortungsvolle Unternehmen – zum Schutz von Mensch und Umwelt»,Initiative populaire «Entreprises responsables – pour protéger l’être humain et l’environnement»,2020-10-30,2020-12-13,0.922441,1.0,21.529559,pol=HIGH/rg=HIGH,False,False,False,4|4.1|4.16|1|1.6|1.62|9|9.3,50.73,717.0,491,226,17.060,,12,True
A-641,A,swissvotes,641,2021-06-13,Trinkwasserinitiative,Initiative pour une eau potable propre,Volksinitiative «Für sauberes Trinkwasser und gesunde Nahrung – Keine Subventionen für den Pestizid- und den prophylaktischen Antibiotika-Einsatz»,Initiative populaire «Pour une eau potable propre et une alimentation saine – Pas de subventions pour l’utilisation de pesticides et l’utilisation d’antibiotiques à titre prophylactique»,2021-05-14,2021-06-27,0.820513,1.0,0.122059,pol=HIGH/rg=LOW,False,False,False,9|9.3|9.34|5|5.1|5|5.2,39.31,566.0,363,203,18.096,,11,True
A-644,A,swissvotes,644,2021-06-13,CO2-Gesetz,Loi sur le CO2,Bundesgesetz über die Verminderung von Treibhausgasemissionen (CO2-Gesetz),Loi fédérale sur la réduction des émissions de gaz à effet de serre (Loi sur le CO2),2021-05-14,2021-06-27,0.583762,0.333333,8.477941,pol=LOW/rg=LOW,False,False,False,9|9.3|9.31|7|7.5|6|6.1|6.14,48.41,552.0,370,182,17.071,,12,True
A-650,A,swissvotes,650,2021-11-28,Änderung des Covid-19-Gesetzes (2. Revision),Modification de la loi COVID-19 (2e révision),"Änderung vom 19. März 2021 des Bundesgesetzes über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz) (Härtefälle, Arbeitslosenversicherung, familienergänzende Kinderbetreuung, Kulturschaffende, Veranstaltungen)","Modification du 19 mars 2021 de la loi fédérale sur les bases légales des ordonnances du Conseil fédéral visant à surmonter l’épidémie de COVID-19) (Loi COVID-19) (Cas de rigueur, assurance-chômage, accueil extra-familial pour enfants, acteurs culturels, manifestations)",2021-10-29,2021-12-12,0.551867,0.333333,3.350294,pol=LOW/rg=LOW,False,False,False,10|10.1|1|1.6|1.62|4|4.1,62.02,690.0,519,171,21.016,,9,True
A-659,A,swissvotes,659,2022-09-25,Erhöhung der Mehrwertsteuer zugunsten der AHV,Relèvement de la TVA pour un financement additionnel de l’AVS,Bundesbeschluss über die Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,Arrêté fédéral sur le financement additionnel de l’AVS par le biais d’un relèvement de la TVA,2022-08-26,2022-10-09,0.64456,0.666667,-16.396176,pol=HIGH/rg=HIGH,False,False,False,10|10.2|10.21|6|6.1|6.14,55.07,443.0,322,121,19.050,,11,True
A-665,A,swissvotes,665,2024-03-03,Initiative für eine 13. AHV-Rente,Initiative pour une 13e rente AVS,Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»,Initiative populaire «Mieux vivre à la retraite (initiative pour une 13e rente AVS)»,2024-02-02,2024-03-17,0.617465,0.666667,28.488824,pol=LOW/rg=HIGH,False,False,False,10|10.2|10.21,58.25,752.0,573,179,22.043,,11,True
B-Q57624299,B,wikidata,Q57624299,2018-12-05,Bundesratswahl 2018,élection du Conseil fédéral suisse 2018,,,2018-11-05,2018-12-19,,,,federal council election,False,False,False,Q1006573,,,,,,2.0,9,True
B-Q59550563,B,wikidata,Q59550563,2019-12-11,Bundesratswahl 2019,élections du Conseil fédéral suisse de 2019,,,2019-11-11,2019-12-25,,,,federal council election,False,False,False,Q1006573,,,,,,4.0,7,True
B-Q114349672,B,wikidata,Q114349672,2022-12-07,Bundesratswahl 2022,élection du Conseil fédéral 2022,,,2022-11-07,2022-12-21,,,,federal council election,False,False,False,Q1006573,,,,,,3.0,9,True
B-Q122238691,B,wikidata,Q122238691,2023-12-13,Bundesratswahl 2023,élections du Conseil fédéral suisse de 2023,,,2023-11-13,2023-12-27,,,,federal council election,False,False,False,Q1006573,,,,,,4.0,8,True
C-Q55972779,C,wikidata,Q55972779,2018-08-04,Absturz der Junkers Ju 52 HB-HOT,accident aérien du Junkers Ju 52 suisse en 2018,,,2018-07-05,2018-08-18,,,,non-institutional,False,False,False,Q3002150,,,,,,11.0,0,False
