event_id,query_name,yaml_path,date_from,date_to,n_sources,languages,submitted
A-628,mediapos-A-628,data/out/queries/A-628.yaml,2019-04-19,2019-06-02,34,de|fr,False
A-631,mediapos-A-631,data/out/queries/A-631.yaml,2020-08-28,2020-10-11,34,de|fr,False
A-636,mediapos-A-636,data/out/queries/A-636.yaml,2020-10-30,2020-12-13,34,de|fr,False
A-641,mediapos-A-641,data/out/queries/A-641.yaml,2021-05-14,2021-06-27,34,de|fr,False
A-644,mediapos-A-644,data/out/queries/A-644.yaml,2021-05-14,2021-06-27,34,de|fr,False
A-650,mediapos-A-650,data/out/queries/A-650.yaml,2021-10-29,2021-12-12,34,de|fr,False
A-659,mediapos-A-659,data/out/queries/A-659.yaml,2022-08-26,2022-10-09,34,de|fr,False
A-665,mediapos-A-665,data/out/queries/A-665.yaml,2024-02-02,2024-03-17,34,de|fr,False
B-Q114349672,mediapos-B-Q114349672,data/out/queries/B-Q114349672.yaml,2022-11-07,2022-12-21,34,de|fr,False
B-Q122238691,mediapos-B-Q122238691,data/out/queries/B-Q122238691.yaml,2023-11-13,2023-12-27,34,de|fr,False
B-Q57624299,mediapos-B-Q57624299,data/out/queries/B-Q57624299.yaml,2018-11-05,2018-12-19,34,de|fr,False
B-Q59550563,mediapos-B-Q59550563,data/out/queries/B-Q59550563.yaml,2019-11-11,2019-12-25,34,de|fr,False
C-Q117220069,mediapos-C-Q117220069,data/out/queries/C-Q117220069.yaml,2023-02-17,2023-04-02,34,de|fr,False
C-Q55972779,mediapos-C-Q55972779,data/out/queries/C-Q55972779.yaml,2018-07-05,2018-08-18,34,de|fr,False
C-Q64605546,mediapos-C-Q64605546,data/out/queries/C-Q64605546.yaml,2019-05-15,2019-06-28,34,de|fr,False
D-651,mediapos-D-651,data/out/queries/D-651.yaml,2022-01-14,2022-02-27,34,de|fr,False
E-Q101110072,mediapos-E-Q101110072,data/out/queries/E-Q101110072.yaml,2024-10-06,2024-11-19,34,de|fr,False
E-Q116691303,mediapos-E-Q116691303,data/out/queries/E-Q116691303.yaml,2023-01-07,2023-02-20,34,de|fr,False
E-Q22923830,mediapos-E-Q22923830,data/out/queries/E-Q22923830.yaml,2020-10-04,2020-11-17,34,de|fr,False
E-Q7888194,mediapos-E-Q7888194,data/out/queries/E-Q7888194.yaml,2020-01-01,2020-02-14,34,de|fr,False
